[2019-05-17 13:32:26,734] [INFO] [Loading the datasets...]
[2019-05-17 13:34:00,863] [INFO] [... done.]
[2019-05-17 13:34:01,131] [INFO] [Model compiled: 3896833 parameters total.]
[2019-05-17 13:34:01,131] [INFO] [Starting training for 50 epoch(s)]
[2019-05-17 13:34:01,131] [INFO] [Epoch 1/50]
[2019-05-17 15:57:09,558] [INFO] [- Train metrics: accuracy: 0.832 - precision: 0.780 - recall: 0.818 - f1: 0.783 - loss: 0.304]
[2019-05-17 16:18:23,579] [INFO] [- Train ROC AUC score: 0.948164787899136]
[2019-05-17 16:18:23,579] [INFO] [Train confusion matrix:]
[2019-05-17 16:18:23,579] [INFO] [[308176  38118]]
[2019-05-17 16:18:23,580] [INFO] [[129705 887525]]
[2019-05-17 16:25:33,253] [INFO] [- Eval metrics: accuracy: 0.876 - precision: 0.830 - recall: 0.879 - f1: 0.842 - loss: 0.258]
[2019-05-17 16:32:15,524] [INFO] [- Val ROC AUC score: 0.9470274736309079]
[2019-05-17 16:32:15,525] [INFO] [Val confusion matrix:]
[2019-05-17 16:32:15,525] [INFO] [[101513  13450]]
[2019-05-17 16:32:15,525] [INFO] [[ 42818 296727]]
[2019-05-17 16:32:15,699] [INFO] [- Found new best F1 score!]
[2019-05-17 16:32:15,699] [INFO] [Epoch 2/50]
[2019-05-17 19:09:30,215] [INFO] [- Train metrics: accuracy: 0.885 - precision: 0.842 - recall: 0.875 - f1: 0.850 - loss: 0.242]
[2019-05-17 19:30:43,887] [INFO] [- Train ROC AUC score: 0.9621917645453727]
[2019-05-17 19:30:43,887] [INFO] [Train confusion matrix:]
[2019-05-17 19:30:43,888] [INFO] [[304250  42044]]
[2019-05-17 19:30:43,888] [INFO] [[ 90900 926330]]
[2019-05-17 19:37:50,660] [INFO] [- Eval metrics: accuracy: 0.890 - precision: 0.848 - recall: 0.877 - f1: 0.855 - loss: 0.231]
[2019-05-17 19:44:28,183] [INFO] [- Val ROC AUC score: 0.9547700409835396]
[2019-05-17 19:44:28,184] [INFO] [Val confusion matrix:]
[2019-05-17 19:44:28,184] [INFO] [[97774 17189]]
[2019-05-17 19:44:28,184] [INFO] [[ 32792 306753]]
[2019-05-17 19:44:28,822] [INFO] [- Found new best F1 score!]
[2019-05-17 19:44:28,823] [INFO] [Epoch 3/50]
[2019-05-17 22:28:16,867] [INFO] [- Train metrics: accuracy: 0.899 - precision: 0.861 - recall: 0.889 - f1: 0.867 - loss: 0.221]
[2019-05-17 22:49:33,850] [INFO] [- Train ROC AUC score: 0.9694620807269955]
[2019-05-17 22:49:33,850] [INFO] [Train confusion matrix:]
[2019-05-17 22:49:33,851] [INFO] [[311601  34693]]
[2019-05-17 22:49:33,851] [INFO] [[ 81946 935284]]
[2019-05-17 22:56:40,934] [INFO] [- Eval metrics: accuracy: 0.894 - precision: 0.853 - recall: 0.883 - f1: 0.860 - loss: 0.225]
[2019-05-17 23:03:24,035] [INFO] [- Val ROC AUC score: 0.957387144911199]
[2019-05-17 23:03:24,035] [INFO] [Val confusion matrix:]
[2019-05-17 23:03:24,035] [INFO] [[98896 16067]]
[2019-05-17 23:03:24,035] [INFO] [[ 32033 307512]]
[2019-05-17 23:03:24,742] [INFO] [- Found new best F1 score!]
[2019-05-17 23:03:24,747] [INFO] [Epoch 4/50]
[2019-05-18 01:46:05,761] [INFO] [- Train metrics: accuracy: 0.910 - precision: 0.876 - recall: 0.901 - f1: 0.881 - loss: 0.204]
[2019-05-18 02:07:18,988] [INFO] [- Train ROC AUC score: 0.9747938253693591]
[2019-05-18 02:07:18,989] [INFO] [Train confusion matrix:]
[2019-05-18 02:07:18,989] [INFO] [[304909  41385]]
[2019-05-18 02:07:18,989] [INFO] [[ 61060 956170]]
[2019-05-18 02:14:24,314] [INFO] [- Eval metrics: accuracy: 0.896 - precision: 0.861 - recall: 0.865 - f1: 0.856 - loss: 0.226]
[2019-05-18 02:21:01,022] [INFO] [- Val ROC AUC score: 0.958329755724139]
[2019-05-18 02:21:01,022] [INFO] [Val confusion matrix:]
[2019-05-18 02:21:01,022] [INFO] [[92172 22791]]
[2019-05-18 02:21:01,023] [INFO] [[ 24578 314967]]
[2019-05-18 02:21:01,383] [INFO] [Epoch 5/50]
[2019-05-18 05:03:25,456] [INFO] [- Train metrics: accuracy: 0.916 - precision: 0.883 - recall: 0.907 - f1: 0.888 - loss: 0.191]
[2019-05-18 05:24:45,294] [INFO] [- Train ROC AUC score: 0.9792140630793067]
[2019-05-18 05:24:45,295] [INFO] [Train confusion matrix:]
[2019-05-18 05:24:45,295] [INFO] [[312004  34290]]
[2019-05-18 05:24:45,295] [INFO] [[ 57451 959779]]
[2019-05-18 05:31:58,715] [INFO] [- Eval metrics: accuracy: 0.895 - precision: 0.859 - recall: 0.866 - f1: 0.856 - loss: 0.232]
